loan_id,month_index,reporting_month,origination_month,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,current_status,days_past_due,modification_flag,prepayment_flag,default_flag,loss_severity_band,last_updated_at,source_system,document_status,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_required,exception_type
LN000000,12,2023-02,2022-03,12,348,103664,102197.67,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-02-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000000,13,2023-03,2022-03,13,347,103664,102075.48,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-03-15,SystemA,Missing,0.0,0.0,0.0,1.0,Current,0,none
LN000000,14,2023-04,2022-03,14,346,103664,101953.28,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-04-15,SystemB,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000000,15,2023-05,2022-03,15,345,103664,101831.09,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-05-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000000,16,2023-06,2022-03,16,344,103664,101708.9,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-06-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000000,17,2023-07,2022-03,17,343,103664,101586.7,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Current,0,0,0,0,None,2023-07-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000000,18,2023-08,2022-03,18,342,103664,101586.7,4.715,700-739,90-95,30-40,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,Prepaid,0,0,1,0,None,2023-08-15,SystemA,Complete,,,,,,0,none
LN000001,1,2022-11,2022-11,1,359,129359,129208.94,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2022-11-15,SystemA,Complete,1.0,1.0,0.0,0.0,Current,0,none
LN000001,2,2022-12,2022-11,2,358,129359,129058.89,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2022-12-15,SystemB,Missing,1.0,1.0,0.0,0.0,Current,0,none
LN000001,3,2023-01,2022-11,3,357,129359,128908.83,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-01-15,SystemB,Complete,1.0,1.0,0.0,0.0,30DPD,0,none
LN000001,4,2023-02,2022-11,4,356,129359,128758.77,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,30DPD,30,0,0,0,None,2020-01-15,SystemA,Stale,1.0,1.0,0.0,0.0,30DPD,1,stale_record
LN000001,5,2023-03,2022-11,5,355,129359,128608.72,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,30DPD,30,0,0,0,None,2023-03-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000001,6,2023-04,2022-11,6,354,129359,128458.66,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-04-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000001,7,2023-05,2022-11,7,353,129359,128308.6,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-05-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,8,2023-06,2022-11,8,352,129359,128158.55,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-06-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,9,2023-07,2022-11,9,351,129359,128008.49,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-07-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,10,2023-08,2022-11,10,350,129359,127858.44,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-08-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,11,2023-09,2022-11,11,349,129359,127708.38,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-09-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,12,2023-10,2022-11,12,348,129359,,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-10-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,13,2023-11,2022-11,13,347,129359,127408.27,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-11-15,SystemA,Stale,0.0,0.0,0.0,1.0,Current,0,none
LN000001,14,2023-12,2022-11,14,346,129359,127258.21,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2023-12-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,15,2024-01,2022-11,15,345,129359,127108.15,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2024-01-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,16,2024-02,2022-11,16,344,129359,126958.1,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2024-02-15,SystemA,Missing,0.0,0.0,0.0,1.0,Current,0,none
LN000001,17,2024-03,2022-11,17,343,129359,126808.04,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2024-03-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000001,18,2024-04,2022-11,18,342,129359,126657.98,4.64,780+,80-90,40-50,FL,Purchase,Second_Home,Condo,ServicerC,Current,0,0,0,0,None,2024-04-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000002,1,2023-05,2023-05,1,359,259407,259122.04,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-05-15,SystemA,Complete,1.0,1.0,0.0,0.0,Current,0,none
LN000002,2,2023-06,2023-05,2,358,259407,258837.08,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-06-15,SystemB,Complete,1.0,1.0,0.0,0.0,Current,0,none
LN000002,3,2023-07,2023-05,3,357,259407,258552.12,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-07-15,SystemA,Complete,1.0,1.0,0.0,0.0,30DPD,0,none
LN000002,4,2023-08,2023-05,4,356,259407,258267.17,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,30DPD,30,0,0,0,None,2023-08-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000002,5,2023-09,2023-05,5,355,259407,257982.21,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-09-15,SystemB,Complete,0.0,0.0,1.0,0.0,Current,0,none
LN000002,6,2023-10,2023-05,6,354,259407,257697.25,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-10-15,SystemA,Missing,0.0,1.0,1.0,0.0,Current,0,none
LN000002,7,2023-11,2023-05,7,353,259407,257412.29,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-11-15,SystemA,Complete,0.0,1.0,1.0,0.0,Current,0,none
LN000002,8,2023-12,2023-05,8,352,259407,257127.33,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2023-12-15,SystemB,Complete,0.0,1.0,1.0,0.0,Current,0,none
LN000002,9,2024-01,2023-05,9,351,259407,256842.37,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2024-01-15,SystemA,Complete,1.0,1.0,1.0,0.0,Current,0,none
LN000002,10,2024-02,2023-05,10,350,259407,256557.41,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2024-02-15,SystemA,Complete,1.0,1.0,1.0,0.0,Current,0,none
LN000002,11,2024-03,2023-05,11,349,259407,256272.46,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,Current,0,0,0,0,None,2024-03-15,SystemA,Complete,1.0,1.0,1.0,0.0,30DPD,0,none
LN000002,12,2024-04,2023-05,12,348,259407,255987.5,4.394,780+,90-95,40-50,NJ,Purchase,Primary,Condo,ServicerE,30DPD,30,0,0,0,None,2024-04-15,SystemB,Partial,1.0,1.0,1.0,0.0,60DPD,0,none
LN000003,1,2023-06,2023-06,1,359,187779,187495.5,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-06-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000003,2,2023-07,2023-06,2,358,187779,187212.0,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-07-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000003,3,2023-08,2023-06,3,357,187779,186928.5,,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-08-15,SystemA,Missing,0.0,0.0,0.0,1.0,Current,0,none
LN000003,4,2023-09,2023-06,4,356,187779,186645.0,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-09-15,SystemA,Stale,0.0,0.0,0.0,1.0,Current,0,none
LN000003,5,2023-10,2023-06,5,355,187779,186361.5,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-10-15,SystemB,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000003,6,2023-11,2023-06,6,354,187779,186078.0,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-11-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000003,7,2023-12,2023-06,7,353,187779,185794.5,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2023-12-15,SystemA,Missing,0.0,0.0,0.0,1.0,Current,0,none
LN000003,8,2024-01,2023-06,8,352,187779,185511.01,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2024-01-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000003,9,2024-02,2023-06,9,351,187779,185227.51,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2024-02-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000003,10,2024-03,2023-06,10,350,187779,184944.01,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Current,0,0,0,0,None,2024-03-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000003,11,2024-04,2023-06,11,349,187779,184944.01,6.039,660-699,70-80,30-40,CO,Purchase,Primary,Single_Family,ServicerC,Prepaid,0,0,1,0,None,2024-04-15,SystemA,Complete,,,,,,0,none
LN000004,1,2023-04,2023-04,1,359,221758,221440.05,5.735,,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-04-15,SystemA,Complete,1.0,1.0,0.0,1.0,Current,0,none
LN000004,2,2023-05,2023-04,2,358,221758,221122.11,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-05-15,SystemA,Complete,1.0,1.0,0.0,1.0,30DPD,0,none
LN000004,3,2023-06,2023-04,3,357,221758,220804.16,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,30DPD,30,0,0,0,None,2023-06-15,SystemA,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000004,4,2023-07,2023-04,4,356,221758,220486.22,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-07-15,SystemA,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000004,5,2023-08,2023-04,5,355,221758,220168.27,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-08-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000004,6,2023-09,2023-04,6,354,221758,219850.33,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-09-15,SystemB,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000004,7,2023-10,2023-04,7,353,221758,219532.38,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-10-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000004,8,2023-11,2023-04,8,352,221758,219214.44,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-11-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000004,9,2023-12,2023-04,9,351,221758,218896.49,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-12-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000004,10,2024-01,2023-04,10,350,221758,218896.49,5.735,660-699,90-95,40-50,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,Prepaid,0,0,1,0,None,2024-01-15,SystemA,Complete,,,,,,0,none
LN000005,1,2022-01,2022-01,1,359,144431,144259.16,4.759,740-779,,40-50,TX,Purchase,Primary,Single_Family,ServicerA,Current,0,0,0,0,None,2022-01-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000005,2,2022-02,2022-01,2,358,144431,144087.33,4.759,740-779,80-90,40-50,TX,Purchase,Primary,Single_Family,ServicerA,Current,0,0,0,0,None,2022-02-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000005,3,2022-03,2022-01,3,357,144431,143915.49,4.759,740-779,80-90,40-50,TX,Purchase,Primary,Single_Family,ServicerA,Current,0,0,0,0,None,2022-03-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000005,4,2022-04,2022-01,4,356,144431,143743.65,4.759,740-779,80-90,40-50,TX,Purchase,Primary,Single_Family,ServicerA,Current,0,0,0,0,None,2022-04-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000005,5,2022-05,2022-01,5,355,144431,143571.82,4.759,740-779,80-90,40-50,TX,Purchase,Primary,Single_Family,ServicerA,Current,0,0,0,0,None,2022-05-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000005,6,2022-06,2022-01,6,354,144431,143571.82,4.759,740-779,80-90,40-50,TX,Purchase,Primary,Single_Family,ServicerA,Prepaid,0,0,1,0,None,2022-06-15,SystemB,Partial,,,,,,0,none
LN000006,1,2022-02,2022-02,1,239,166981,166749.81,5.538,700-739,,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-02-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,2,2022-03,2022-02,2,238,166981,166518.63,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-03-15,SystemA,Stale,0.0,0.0,0.0,0.0,Current,0,none
LN000006,3,2022-04,2022-02,3,237,166981,166287.44,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-04-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,4,2022-05,2022-02,4,236,166981,166056.26,5.538,700-739,,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-05-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,5,2022-06,2022-02,5,235,166981,165825.07,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-06-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,6,2022-07,2022-02,6,234,166981,165593.89,,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-07-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,7,2022-08,2022-02,7,233,166981,165362.7,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-08-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,8,2022-09,2022-02,8,232,166981,165131.52,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-09-15,SystemA,Partial,0.0,0.0,0.0,0.0,Current,0,none
LN000006,9,2022-10,2022-02,9,231,166981,164900.33,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-10-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,10,2022-11,2022-02,10,230,166981,164669.15,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-11-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,11,2022-12,2022-02,11,229,166981,206312.708682148,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2022-12-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,1,data_entry_error
LN000006,12,2023-01,2022-02,12,228,166981,164206.78,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-01-15,SystemA,Missing,0.0,0.0,0.0,0.0,Current,0,none
LN000006,13,2023-02,2022-02,13,227,166981,163975.59,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-02-15,SystemA,Stale,0.0,0.0,0.0,0.0,Current,0,none
LN000006,14,2023-03,2022-02,14,226,166981,163744.41,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-03-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,15,2023-04,2022-02,15,225,166981,163513.22,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-04-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,16,2023-05,2022-02,16,224,166981,163282.04,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-05-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,17,2023-06,2022-02,17,223,166981,163050.85,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-06-15,SystemA,Stale,0.0,0.0,0.0,0.0,Current,0,none
LN000006,18,2023-07,2022-02,18,222,166981,162819.67,5.538,700-739,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-07-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,19,2023-08,2022-02,19,221,166981,162588.48,5.538,,80-90,30-40,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-08-15,SystemA,Complete,0.0,0.0,0.0,0.0,Current,0,none
LN000006,20,2023-09,2022-02,20,220,166981,162357.3,5.538,700-739,80-90,,SC,Purchase,Primary,Single_Family,ServicerE,Current,0,0,0,0,None,2023-09-15,SystemB,Stale,,,,,,0,none
LN000007,1,2023-09,2023-09,1,239,160552,160282.79,6.707,<620,70-80,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,Current,0,0,0,0,None,2023-09-15,SystemA,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000007,2,2023-10,2023-09,2,238,160552,160013.59,6.707,<620,,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,Current,0,0,0,0,None,2023-10-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000007,3,2023-11,2023-09,3,237,160552,159744.38,6.707,<620,,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,Current,0,0,0,0,None,2023-11-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000007,4,2023-12,2023-09,4,236,160552,159475.18,6.707,<620,70-80,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,Current,0,0,0,0,None,2023-12-15,SystemB,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000007,5,2024-01,2023-09,5,235,160552,159205.97,6.707,<620,70-80,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,Current,0,0,0,0,None,2024-01-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000007,6,2024-02,2023-09,6,234,160552,159205.97,6.707,<620,70-80,20-30,TN,Refinance_Cashout,Primary,Townhouse,ServicerD,Prepaid,0,0,1,0,None,2024-02-15,SystemA,Complete,,,,,,0,none
LN000008,1,2022-09,2022-09,1,359,200034,199736.0,5.959,620-659,80-90,30-40,CA,Purchase,Primary,Single_Family,ServicerA,Current,0,0,0,0,None,2022-09-15,SystemA,Complete,0.0,0.0,0.0,1.0,Prepaid,0,none
LN000008,2,2022-10,2022-09,2,358,200034,199736.0,5.959,620-659,80-90,30-40,CA,Purchase,Primary,Single_Family,ServicerA,Prepaid,0,0,1,0,None,2022-10-15,SystemB,Complete,,,,,,0,none
LN000009,1,2022-10,2022-10,1,359,120737,120589.01,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,Current,0,0,0,0,None,2022-10-15,SystemA,Missing,0.0,0.0,0.0,1.0,Current,0,none
LN000009,2,2022-11,2022-10,2,358,120737,120441.01,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,Current,0,0,0,0,None,2020-01-15,SystemB,Stale,0.0,0.0,0.0,1.0,Current,1,stale_record
LN000009,3,2022-12,2022-10,3,357,120737,120293.02,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,Current,0,0,0,0,None,2022-12-15,SystemA,Partial,0.0,0.0,0.0,1.0,Current,0,none
LN000009,4,2023-01,2022-10,4,356,120737,120145.03,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,Current,0,0,0,0,None,2023-01-15,SystemA,Complete,0.0,0.0,0.0,1.0,Current,0,none
LN000009,5,2023-02,2022-10,5,355,120737,119997.03,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,Current,60,0,0,0,None,2020-01-15,SystemB,Stale,0.0,0.0,0.0,1.0,Prepaid,1,stale_record
LN000009,6,2023-03,2022-10,6,354,120737,119997.03,4.903,700-739,70-80,<20,NJ,Refinance_Cashout,Primary,Multi_Family,ServicerE,Prepaid,0,0,1,0,None,2023-03-15,SystemA,Complete,,,,,,0,none
LN000010,1,2022-07,2022-07,1,359,302596,302202.78,5.198,700-739,70-80,<20,MN,Purchase,Primary,Condo,ServicerC,Current,0,0,0,0,None,2022-07-15,SystemB,Complete,0.0,0.0,0.0,0.0,Current,0,none
