loan_id,month_index,current_balance,current_status,days_past_due,servicer_name,source_system,update_timestamp,is_conflict
LN001239,4,165812.34,Current,0,ServicerD,SystemB,2024-06-15,0
LN002431,14,162695.91,Current,0,ServicerC,SystemB,2024-06-15,0
LN001265,7,301382.87,Current,0,ServicerA,SystemB,2024-06-15,0
LN002384,8,122207.97,Current,0,ServicerE,SystemB,2024-06-15,0
LN002807,4,263082.36,60DPD,30,ServicerB,SystemB,2024-06-15,1
LN001176,6,166232.12,Current,0,ServicerE,SystemB,2024-06-15,0
LN002470,14,130830.66,60DPD,60,ServicerB,SystemB,2024-06-15,0
LN002332,2,254659.22,Current,0,ServicerE,SystemB,2024-06-15,0
LN001303,3,205198.06,Current,0,ServicerD,SystemB,2024-06-15,0
LN001067,18,439258.59,60DPD,30,ServicerC,SystemB,2024-06-15,1
LN001524,22,65327.67,Current,0,ServicerB,SystemB,2024-06-15,0
LN000371,1,168410.22,Current,0,ServicerC,SystemB,2024-06-15,0
LN001907,5,215463.68757428278,Current,0,ServicerE,SystemB,2024-06-15,1
LN002678,1,157467.42,60DPD,0,ServicerC,SystemB,2024-06-15,1
LN001507,16,97144.95,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN000015,22,107050.29,Current,0,ServicerA,SystemB,2024-06-15,0
LN002600,21,81020.17,30DPD,30,ServicerB,SystemB,2024-06-15,0
LN001353,1,230694.21,Current,0,ServicerE,SystemB,2024-06-15,0
LN000828,18,203976.42,Current,0,ServicerE,SystemB,2024-06-15,0
LN000828,14,205096.32,Current,0,ServicerE,SystemB,2024-06-15,0
LN002090,16,57688.07,Current,0,ServicerE,SystemB,2024-06-15,0
LN000949,3,178049.67,Current,0,ServicerA,SystemB,2024-06-15,0
LN001755,10,188221.5,60DPD,0,ServicerD,SystemB,2024-06-15,1
LN000679,8,,Current,0,ServicerC,SystemB,2024-06-15,0
LN002922,12,194879.4,Current,0,ServicerB,SystemB,2024-06-15,0
LN002915,17,296792.98,Current,0,ServicerB,SystemB,2024-06-15,0
LN002971,14,211958.06,30DPD,30,ServicerD,SystemB,2024-06-15,0
LN001669,17,94868.74,Current,0,ServicerC,SystemB,2024-06-15,0
LN002832,5,320576.21258134453,Current,0,ServicerC,SystemB,2024-06-15,1
LN001810,18,246530.04179261858,Current,0,ServicerE,SystemB,2024-06-15,1
LN002135,23,166224.9,60DPD,60,ServicerD,SystemB,2024-06-15,0
LN002400,19,204980.95,Prepaid,0,ServicerC,SystemB,2024-06-15,0
LN000186,21,,Current,0,ServicerA,SystemB,2024-06-15,0
LN002159,11,570189.59,Current,0,ServicerA,SystemB,2024-06-15,0
LN002987,3,396475.59,Current,0,ServicerB,SystemB,2024-06-15,0
LN002172,13,96353.75,Current,0,ServicerE,SystemB,2024-06-15,0
LN000626,6,188225.88,Current,0,ServicerD,SystemB,2024-06-15,0
LN001362,7,155326.17,90DPD,0,ServicerD,SystemB,2024-06-15,1
LN000905,5,213428.82,Current,0,ServicerA,SystemB,2024-06-15,0
LN001573,16,150110.41,Current,0,ServicerB,SystemB,2024-06-15,0
LN000944,16,627656.42,Current,0,ServicerD,SystemB,2024-06-15,0
LN001056,1,125429.86,Current,0,ServicerC,SystemB,2024-06-15,0
LN001239,19,162386.12,Current,0,ServicerD,SystemB,2024-06-15,0
LN001853,5,196904.14,Current,0,ServicerC,SystemB,2024-06-15,0
LN001503,24,,Current,0,ServicerA,SystemB,2024-06-15,0
LN000722,6,208801.56,30DPD,0,ServicerC,SystemB,2024-06-15,1
LN002321,1,149058.12,Current,0,ServicerB,SystemB,2024-06-15,1
LN002942,1,182487.55,Current,0,ServicerB,SystemB,2024-06-15,0
LN001513,12,499769.59,Current,0,ServicerD,SystemB,2024-06-15,0
LN000551,2,152008.19,Current,0,ServicerB,SystemB,2024-06-15,0
LN001081,1,463530.49,Current,0,ServicerC,SystemB,2024-06-15,0
LN002201,2,310654.54,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN000087,6,333309.7,Current,0,ServicerC,SystemB,2024-06-15,0
LN001486,33,163876.09,Current,0,ServicerA,SystemB,2024-06-15,0
LN002644,27,162175.6,Current,0,ServicerD,SystemB,2024-06-15,0
LN002464,2,190243.15,Current,0,ServicerE,SystemB,2024-06-15,0
LN002223,2,173525.36,Current,0,ServicerD,SystemB,2024-06-15,0
LN002360,7,,Current,0,ServicerC,SystemB,2024-06-15,0
LN001106,6,-338506.71,Current,0,ServicerC,SystemB,2024-06-15,0
LN000419,6,290242.90879786736,Current,0,ServicerA,SystemB,2024-06-15,1
LN001768,7,282622.29,Current,0,ServicerC,SystemB,2024-06-15,1
LN001051,2,124963.72,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN000281,10,293478.97,Current,0,ServicerB,SystemB,2024-06-15,0
LN002443,5,243884.47,Current,0,ServicerE,SystemB,2024-06-15,0
LN002721,18,107055.38,Current,0,ServicerE,SystemB,2024-06-15,0
LN001774,8,381938.76,60DPD,60,ServicerA,SystemB,2024-06-15,0
LN001510,6,186523.67,Current,0,ServicerB,SystemB,2024-06-15,0
LN000845,2,151858.42,Current,0,ServicerD,SystemB,2024-06-15,0
LN002749,1,198231.1639671596,Current,0,ServicerA,SystemB,2024-06-15,1
LN001454,4,133398.34,Current,0,ServicerC,SystemB,2024-06-15,0
LN000030,3,473774.37,Current,0,ServicerD,SystemB,2024-06-15,0
LN002625,5,116354.44,Current,0,ServicerC,SystemB,2024-06-15,0
LN000407,13,370416.55,Current,0,ServicerE,SystemB,2024-06-15,0
LN002209,8,227292.68,Current,0,ServicerC,SystemB,2024-06-15,0
LN002851,12,418630.21,Current,0,ServicerE,SystemB,2024-06-15,0
LN001599,6,88535.82,30DPD,30,ServicerB,SystemB,2024-06-15,0
LN000654,4,277221.73,Current,0,ServicerD,SystemB,2024-06-15,0
LN000248,13,233767.9,Prepaid,0,ServicerC,SystemB,2024-06-15,0
LN000306,3,,Current,0,ServicerC,SystemB,2024-06-15,0
LN000013,10,788202.0,Current,0,ServicerE,SystemB,2024-06-15,0
LN002765,8,125445.83,Current,0,ServicerD,SystemB,2024-06-15,0
LN001266,2,378126.14,Prepaid,0,ServicerC,SystemB,2024-06-15,0
LN001737,5,176669.78,Current,0,ServicerC,SystemB,2024-06-15,0
LN001847,16,90502.61,Current,0,ServicerE,SystemB,2024-06-15,0
LN000647,3,51169.38,90DPD,90,ServicerB,SystemB,2024-06-15,0
LN002090,15,57760.69,Current,0,ServicerE,SystemB,2024-06-15,0
LN001142,7,183544.09,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN000994,8,352692.22,Current,0,ServicerD,SystemB,2024-06-15,0
LN002911,2,331868.47,Current,0,ServicerE,SystemB,2024-06-15,0
LN002765,12,124896.25,Current,0,ServicerD,SystemB,2024-06-15,0
LN001122,5,308412.1974417989,Current,0,ServicerB,SystemB,2024-06-15,1
LN000090,3,243591.88,Current,0,ServicerA,SystemB,2024-06-15,0
LN000820,6,336092.54,Current,0,ServicerB,SystemB,2024-06-15,0
LN000730,28,108025.24968772507,Current,0,ServicerB,SystemB,2024-06-15,1
LN001809,4,394379.82,Current,0,ServicerE,SystemB,2024-06-15,0
LN000280,7,243284.42,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN000464,6,281819.2,Current,0,ServicerD,SystemB,2024-06-15,1
LN001120,13,230783.62,Current,0,ServicerA,SystemB,2024-06-15,0
LN002012,8,352540.47,Current,0,ServicerE,SystemB,2024-06-15,0
LN002219,2,107261.69,Current,0,ServicerC,SystemB,2024-06-15,0
LN002653,18,112773.31,60DPD,60,ServicerD,SystemB,2024-06-15,0
LN001726,13,160804.34,Current,0,ServicerC,SystemB,2024-06-15,0
LN002250,8,103045.25,Current,0,ServicerE,SystemB,2024-06-15,0
LN002249,6,184009.75,Current,0,ServicerA,SystemB,2024-06-15,0
LN002083,3,82523.18,Current,0,ServicerC,SystemB,2024-06-15,1
LN001362,4,156040.52,Current,0,ServicerD,SystemB,2024-06-15,0
LN000557,1,275259.72,Current,0,ServicerB,SystemB,2024-06-15,0
LN001232,14,221973.8671763516,Current,0,ServicerD,SystemB,2024-06-15,1
LN000694,2,158776.67,Current,0,ServicerC,SystemB,2024-06-15,0
LN000738,8,196297.03,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN002023,26,235708.89,Current,0,ServicerC,SystemB,2024-06-15,0
LN002718,9,281179.81,Current,0,ServicerD,SystemB,2024-06-15,0
LN002876,19,234818.52,Current,0,ServicerB,SystemB,2024-06-15,0
LN001768,1,284609.76,Current,90,ServicerC,SystemB,2024-06-15,1
LN000688,12,142657.29,Current,0,ServicerD,SystemB,2024-06-15,0
LN001799,15,159376.0888765154,Current,0,ServicerE,SystemB,2024-06-15,1
LN000585,13,64902.5,Current,0,ServicerD,SystemB,2024-06-15,0
LN000186,7,346936.71,Current,0,ServicerA,SystemB,2024-06-15,0
LN001879,9,314283.59,Prepaid,0,ServicerB,SystemB,2024-06-15,0
LN002699,19,349727.0879552426,Current,0,ServicerA,SystemB,2024-06-15,1
LN002968,1,208044.8,Current,0,ServicerE,SystemB,2024-06-15,0
LN002287,6,220311.59,Current,0,ServicerB,SystemB,2024-06-15,0
LN002349,1,165913.7089374573,Current,0,ServicerB,SystemB,2024-06-15,1
LN001843,33,168771.19,Current,0,ServicerA,SystemB,2024-06-15,0
LN000400,12,284442.24,60DPD,60,ServicerE,SystemB,2024-06-15,0
LN002931,4,232449.66,Current,90,ServicerB,SystemB,2024-06-15,0
LN000921,1,280738.68,Current,0,ServicerA,SystemB,2024-06-15,0
LN001493,7,296818.33,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN001583,7,124987.75,Current,0,ServicerD,SystemB,2024-06-15,0
LN002923,3,472831.33,Current,0,ServicerD,SystemB,2024-06-15,0
LN000947,9,329248.88,30DPD,30,ServicerB,SystemB,2024-06-15,0
LN001689,16,246302.04,Current,0,ServicerB,SystemB,2024-06-15,0
LN002215,10,254785.75,Prepaid,90,ServicerA,SystemB,2024-06-15,1
LN002787,1,347122.99,30DPD,0,ServicerD,SystemB,2024-06-15,1
LN000790,13,416532.49,Prepaid,0,ServicerE,SystemB,2024-06-15,0
LN002883,3,219994.59,Current,0,ServicerD,SystemB,2024-06-15,0
LN000156,12,179587.3531336941,Current,0,ServicerC,SystemB,2024-06-15,1
LN002910,1,85491.58,Current,0,ServicerA,SystemB,2024-06-15,0
LN002174,1,372455.1,Current,0,ServicerB,SystemB,2024-06-15,0
LN000508,7,548416.85,30DPD,30,ServicerE,SystemB,2024-06-15,0
LN002025,9,223943.1,Current,0,ServicerE,SystemB,2024-06-15,0
LN000975,8,186808.06,Current,0,ServicerE,SystemB,2024-06-15,1
LN000037,20,86530.29,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN002371,6,184720.25,Current,0,ServicerB,SystemB,2024-06-15,0
LN002481,15,-159326.09,Prepaid,0,ServicerC,SystemB,2024-06-15,0
LN000898,2,138238.73,Current,0,ServicerE,SystemB,2024-06-15,0
LN001179,9,215460.55,Current,0,ServicerC,SystemB,2024-06-15,0
LN002904,10,82211.02,Current,60,ServicerD,SystemB,2024-06-15,1
LN001098,2,90569.04,Current,0,ServicerE,SystemB,2024-06-15,0
LN001367,11,1381594.9039010368,Current,0,ServicerC,SystemB,2024-06-15,0
LN001454,6,133355.39582839428,Current,0,ServicerC,SystemB,2024-06-15,1
LN001832,1,191290.79,Current,0,ServicerA,SystemB,2024-06-15,0
LN000187,15,371241.32,Current,0,ServicerB,SystemB,2024-06-15,0
LN001908,5,422661.46,Current,0,ServicerD,SystemB,2024-06-15,0
LN000325,25,162827.29,Current,0,ServicerE,SystemB,2024-06-15,0
LN001609,9,205738.22,Prepaid,0,ServicerE,SystemB,2024-06-15,0
LN001788,11,172297.91,Current,0,ServicerB,SystemB,2024-06-15,0
LN002999,14,121113.02,Current,0,ServicerB,SystemB,2024-06-15,0
LN001619,7,225051.87,Current,0,ServicerA,SystemB,2024-06-15,0
LN000799,7,222957.24,Current,0,ServicerD,SystemB,2024-06-15,0
LN002339,14,141096.81,60DPD,60,ServicerB,SystemB,2024-06-15,0
LN000372,4,227815.95,Prepaid,0,ServicerD,SystemB,2024-06-15,0
LN002347,6,282543.25,Current,0,ServicerB,SystemB,2024-06-15,0
LN002737,5,462960.72773296025,Prepaid,0,ServicerE,SystemB,2024-06-15,1
LN001372,10,176973.32,30DPD,30,ServicerC,SystemB,2024-06-15,0
LN000789,7,302984.59,Current,0,ServicerC,SystemB,2024-06-15,1
LN002109,9,220109.72,Current,0,ServicerE,SystemB,2024-06-15,0
LN002704,3,207967.15,Current,0,ServicerC,SystemB,2024-06-15,0
LN000234,2,78205.63,Current,0,ServicerD,SystemB,2024-06-15,0
LN000761,4,198851.14,Current,0,ServicerE,SystemB,2024-06-15,0
LN000247,15,249499.62,Current,0,ServicerB,SystemB,2024-06-15,0
LN000308,1,305727.47,Current,0,ServicerB,SystemB,2024-06-15,0
LN000869,6,180140.97,Current,0,ServicerD,SystemB,2024-06-15,0
LN001983,19,200516.6,30DPD,30,ServicerE,SystemB,2024-06-15,0
LN001916,3,120780.73,Current,0,ServicerD,SystemB,2024-06-15,0
LN000822,1,153638.64,Current,0,ServicerB,SystemB,2024-06-15,0
LN001292,1,118738.57,Current,0,ServicerB,SystemB,2024-06-15,0
LN002803,8,351426.19,Current,0,ServicerE,SystemB,2024-06-15,0
LN002038,3,82915.85,Current,0,ServicerC,SystemB,2024-06-15,0
LN001270,11,171367.9,Current,0,ServicerA,SystemB,2024-06-15,0
LN000619,6,157002.26,Current,0,ServicerC,SystemB,2024-06-15,0
LN000084,1,140337.85,Current,0,ServicerA,SystemB,2024-06-15,0
LN002889,5,70689.37,Current,0,ServicerD,SystemB,2024-06-15,0
LN002996,13,650142.32,Current,0,ServicerC,SystemB,2024-06-15,1
LN001582,8,220875.15,Current,0,ServicerD,SystemB,2024-06-15,0
LN002858,11,103914.81,Current,0,ServicerC,SystemB,2024-06-15,0
LN002899,3,228830.1,Current,0,ServicerE,SystemB,2024-06-15,0
LN002118,10,331863.09,Current,0,ServicerC,SystemB,2024-06-15,0
LN002664,25,83482.1,Current,0,ServicerB,SystemB,2024-06-15,0
LN000564,1,173535.19,Current,0,ServicerB,SystemB,2024-06-15,0
LN001584,1,243611.9,Current,0,ServicerE,SystemB,2024-06-15,0
LN000104,9,175434.96,30DPD,30,ServicerA,SystemB,2024-06-15,0
LN001594,8,286998.67,Prepaid,0,ServicerC,SystemB,2024-06-15,0
LN002821,10,127009.01,30DPD,30,ServicerA,SystemB,2024-06-15,0
LN001884,1,166510.73,Current,0,ServicerD,SystemB,2024-06-15,0
LN000131,18,257605.81,Current,0,ServicerE,SystemB,2024-06-15,0
LN000167,3,183253.22696173383,Current,0,ServicerE,SystemB,2024-06-15,1
LN000654,10,274930.84,90DPD,30,ServicerD,SystemB,2024-06-15,1
LN001726,12,161007.55,Current,0,ServicerC,SystemB,2024-06-15,0
LN000970,5,215681.61,Current,0,ServicerC,SystemB,2024-06-15,0
LN001994,7,178930.21,30DPD,30,ServicerB,SystemB,2024-06-15,0
LN001281,6,354636.69,Current,0,ServicerD,SystemB,2024-06-15,0
LN001577,3,313426.59279003815,Current,0,ServicerC,SystemB,2024-06-15,1
LN000998,5,213804.69,Current,0,ServicerB,SystemB,2024-06-15,0
LN002922,5,196371.33,Current,0,ServicerB,SystemB,2024-06-15,0
LN001974,5,304093.18,Current,0,ServicerD,SystemB,2024-06-15,0
LN002505,8,74980.31,90DPD,90,ServicerA,SystemB,2024-06-15,0
LN002880,8,78687.53,Current,0,ServicerE,SystemB,2024-06-15,0
LN001776,2,195316.66,Current,0,ServicerB,SystemB,2024-06-15,0
LN002192,3,115473.98,Current,0,ServicerE,SystemB,2024-06-15,0
LN000247,2,,Current,0,ServicerB,SystemB,2024-06-15,0
LN002295,15,194344.95,Current,0,ServicerB,SystemB,2024-06-15,0
LN001446,9,331340.35,90DPD,90,ServicerB,SystemB,2024-06-15,0
LN002480,11,206264.37,Current,0,ServicerC,SystemB,2024-06-15,0
LN000950,9,78913.14,Current,0,ServicerA,SystemB,2024-06-15,0
LN000579,8,208793.98,Current,0,ServicerE,SystemB,2024-06-15,0
LN001335,10,364523.95,Current,0,ServicerC,SystemB,2024-06-15,0
LN001768,14,280303.59,Current,0,ServicerC,SystemB,2024-06-15,0
LN000404,11,228874.66,Prepaid,0,ServicerB,SystemB,2024-06-15,0
LN001513,29,489221.93,Current,0,ServicerD,SystemB,2024-06-15,0
LN000163,16,268953.29,Prepaid,0,ServicerE,SystemB,2024-06-15,0
LN001983,11,202702.03,Current,0,ServicerE,SystemB,2024-06-15,0
LN002930,12,500501.93,Current,0,ServicerE,SystemB,2024-06-15,0
LN001251,3,402013.08,Current,0,ServicerE,SystemB,2024-06-15,0
LN002903,16,296384.2,Current,90,ServicerC,SystemB,2024-06-15,1
LN000039,4,173166.02,Current,0,ServicerA,SystemB,2024-06-15,1
LN000121,13,79156.64,Current,0,ServicerB,SystemB,2024-06-15,0
LN000469,3,143004.74,Current,0,ServicerD,SystemB,2024-06-15,0
LN001334,8,105312.39,Current,0,ServicerA,SystemB,2024-06-15,0
LN001275,2,203493.82,30DPD,0,ServicerA,SystemB,2024-06-15,1
LN002947,1,166330.88,Current,0,ServicerB,SystemB,2024-06-15,0
LN002984,1,370768.23,Current,0,ServicerA,SystemB,2024-06-15,0
LN001176,21,163479.91,30DPD,30,ServicerE,SystemB,2024-06-15,0
LN000157,9,352390.7,90DPD,90,ServicerE,SystemB,2024-06-15,0
LN001506,12,302506.96,Current,0,ServicerE,SystemB,2024-06-15,0
LN002826,18,277879.39,90DPD,90,ServicerC,SystemB,2024-06-15,0
LN002651,1,181815.15,Current,0,ServicerA,SystemB,2024-06-15,0
LN002139,7,349036.71,Current,0,ServicerE,SystemB,2024-06-15,0
LN001089,5,584113.66,Current,0,ServicerA,SystemB,2024-06-15,0
LN000211,13,565173.32,Current,0,ServicerD,SystemB,2024-06-15,0
LN001595,7,157640.83,Current,0,ServicerA,SystemB,2024-06-15,0
LN001194,10,,Current,0,ServicerE,SystemB,2024-06-15,0
LN002031,1,81549.24,Current,0,ServicerA,SystemB,2024-06-15,0
LN001505,4,113477.22,90DPD,90,ServicerD,SystemB,2024-06-15,0
LN001349,8,234646.75,Current,0,ServicerB,SystemB,2024-06-15,0
LN000343,11,313037.88,Current,0,ServicerB,SystemB,2024-06-15,0
LN000439,6,204872.82,60DPD,0,ServicerC,SystemB,2024-06-15,1
LN001405,10,115621.23,Current,60,ServicerB,SystemB,2024-06-15,1
LN002924,5,325570.61,30DPD,30,ServicerD,SystemB,2024-06-15,0
LN001105,4,212167.39,Current,0,ServicerE,SystemB,2024-06-15,0
LN002903,6,300420.32,Current,0,ServicerC,SystemB,2024-06-15,0
LN001565,1,344316.54243911227,Current,0,ServicerA,SystemB,2024-06-15,1
LN002089,3,156113.54,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN001049,6,149190.03,Current,0,ServicerB,SystemB,2024-06-15,0
LN001070,3,401345.39,Prepaid,0,ServicerD,SystemB,2024-06-15,0
LN000661,1,135835.23,Current,0,ServicerE,SystemB,2024-06-15,0
LN000105,10,244042.37,90DPD,90,ServicerB,SystemB,2024-06-15,0
LN001836,11,218726.6,Current,0,ServicerC,SystemB,2024-06-15,0
LN002809,7,129581.05776835913,30DPD,30,ServicerA,SystemB,2024-06-15,1
LN001438,8,108561.77,Current,0,ServicerC,SystemB,2024-06-15,0
LN000243,4,146451.46,Current,0,ServicerA,SystemB,2024-06-15,0
LN000536,5,182104.3,Current,0,ServicerB,SystemB,2024-06-15,0
LN000804,13,178864.69,Current,0,ServicerB,SystemB,2024-06-15,0
LN002084,7,397139.04,Current,0,ServicerD,SystemB,2024-06-15,0
LN001925,8,167073.3,Current,0,ServicerB,SystemB,2024-06-15,0
LN001932,5,794831.0,Current,0,ServicerE,SystemB,2024-06-15,0
LN000184,19,260534.77,Current,0,ServicerC,SystemB,2024-06-15,0
LN000597,1,144026.97,Current,0,ServicerD,SystemB,2024-06-15,0
LN000758,22,234055.1,Current,0,ServicerB,SystemB,2024-06-15,0
LN002756,14,322171.15,Current,0,ServicerE,SystemB,2024-06-15,0
LN002822,12,339142.92,60DPD,60,ServicerB,SystemB,2024-06-15,0
LN001796,14,269413.28,Current,0,ServicerC,SystemB,2024-06-15,0
LN000832,8,80057.6,Prepaid,0,ServicerB,SystemB,2024-06-15,0
LN002517,5,201456.7,Current,0,ServicerC,SystemB,2024-06-15,0
LN001217,7,241591.6,Current,0,ServicerB,SystemB,2024-06-15,0
LN001473,1,385094.38,Current,0,ServicerC,SystemB,2024-06-15,0
LN001191,16,367911.15,Current,0,ServicerB,SystemB,2024-06-15,0
LN000086,11,227047.85,Current,0,ServicerE,SystemB,2024-06-15,0
LN001123,7,218082.39,Current,0,ServicerA,SystemB,2024-06-15,0
LN001806,6,317810.53,Current,30,ServicerD,SystemB,2024-06-15,1
LN000319,7,226106.1,Current,0,ServicerC,SystemB,2024-06-15,0
LN002690,24,377397.67,Current,0,ServicerC,SystemB,2024-06-15,0
LN001439,3,242896.74,Current,0,ServicerE,SystemB,2024-06-15,0
LN001320,11,132137.63,Current,0,ServicerE,SystemB,2024-06-15,0
LN002566,2,196652.44,Current,0,ServicerB,SystemB,2024-06-15,0
LN001504,3,291459.78,Prepaid,0,ServicerC,SystemB,2024-06-15,0
LN001515,1,247334.76,Current,60,ServicerA,SystemB,2024-06-15,1
LN000863,14,304481.14,Current,0,ServicerE,SystemB,2024-06-15,0
LN000295,1,372663.25,Current,0,ServicerD,SystemB,2024-06-15,0
LN001210,7,155946.32,30DPD,60,ServicerD,SystemB,2024-06-15,1
LN001784,4,137407.72,Current,0,ServicerA,SystemB,2024-06-15,0
LN001746,3,237478.59,Current,0,ServicerA,SystemB,2024-06-15,0
LN002449,4,230068.79,Current,0,ServicerD,SystemB,2024-06-15,0
LN002976,12,199333.91,Current,0,ServicerE,SystemB,2024-06-15,0
LN001355,5,166995.66,Current,0,ServicerC,SystemB,2024-06-15,0
LN002358,3,307030.0816104924,Current,0,ServicerB,SystemB,2024-06-15,1
LN000818,9,357785.12,30DPD,30,ServicerA,SystemB,2024-06-15,0
LN002245,5,87365.74,Current,0,ServicerB,SystemB,2024-06-15,0
LN001534,5,141688.86,Current,0,ServicerD,SystemB,2024-06-15,1
LN001673,4,211995.65,30DPD,30,ServicerB,SystemB,2024-06-15,0
LN002493,3,193096.28,Current,0,ServicerB,SystemB,2024-06-15,0
LN000563,7,122028.44,Prepaid,0,ServicerB,SystemB,2024-06-15,0
LN001182,20,306569.61,Current,0,ServicerD,SystemB,2024-06-15,0
LN000820,11,333932.15,90DPD,0,ServicerB,SystemB,2024-06-15,1
LN002388,2,345780.57,Current,0,ServicerB,SystemB,2024-06-15,0
LN002274,3,158517.92,Current,0,ServicerB,SystemB,2024-06-15,0
LN002870,6,258372.35,Current,0,ServicerE,SystemB,2024-06-15,0
LN002378,2,186057.92,Current,0,ServicerC,SystemB,2024-06-15,0
LN001810,8,257237.16,Current,0,ServicerE,SystemB,2024-06-15,0
LN002402,18,174060.02,Current,0,ServicerB,SystemB,2024-06-15,0
LN001736,13,316156.88,Current,60,ServicerE,SystemB,2024-06-15,0
LN001041,21,109968.38,Current,0,ServicerB,SystemB,2024-06-15,0
LN001099,11,151625.87,Current,0,ServicerB,SystemB,2024-06-15,0
LN002416,8,213332.52,Current,30,ServicerB,SystemB,2024-06-15,0
LN001655,18,118375.87,60DPD,60,ServicerD,SystemB,2024-06-15,0
LN000920,1,258753.92,Current,0,ServicerA,SystemB,2024-06-15,1
LN001376,4,166457.61,Current,0,ServicerD,SystemB,2024-06-15,0
LN001538,14,278128.36,Current,0,ServicerB,SystemB,2024-06-15,0
LN001859,5,254653.71,Current,0,ServicerE,SystemB,2024-06-15,0
LN002838,10,80217.99,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN000412,11,193016.57,Current,0,ServicerE,SystemB,2024-06-15,0
LN000630,3,149554.39,Current,0,ServicerD,SystemB,2024-06-15,0
LN001149,21,167528.48,30DPD,30,ServicerD,SystemB,2024-06-15,0
LN002988,3,184306.01,Current,0,ServicerA,SystemB,2024-06-15,0
LN000411,8,217232.48,Current,30,ServicerA,SystemB,2024-06-15,0
LN002360,5,159494.9,Current,0,ServicerC,SystemB,2024-06-15,0
LN000276,7,320924.37,Current,0,ServicerE,SystemB,2024-06-15,0
LN002773,3,208548.51,Current,0,ServicerD,SystemB,2024-06-15,0
LN001740,4,129616.21772963765,Current,0,ServicerC,SystemB,2024-06-15,1
LN000819,2,189702.29,Current,0,ServicerD,SystemB,2024-06-15,0
LN000354,4,202824.22,Current,0,ServicerD,SystemB,2024-06-15,0
LN002997,3,226082.91,Prepaid,0,ServicerA,SystemB,2024-06-15,0
LN002065,7,241608.92,Current,0,ServicerC,SystemB,2024-06-15,0
LN000677,7,109788.7,Current,0,ServicerC,SystemB,2024-06-15,0
LN002873,3,200557.02,Current,0,ServicerE,SystemB,2024-06-15,0
LN002562,5,144852.4243284647,Current,0,ServicerD,SystemB,2024-06-15,1
LN001503,27,214258.22,Current,0,ServicerA,SystemB,2024-06-15,0
LN001783,10,134117.95,Current,0,ServicerC,SystemB,2024-06-15,0
LN002403,1,271037.14,Current,0,ServicerA,SystemB,2024-06-15,0
