loan_id,origination_month,original_balance,interest_rate,credit_score_band,ltv_band,dti_band,state,loan_purpose,occupancy_type,property_type,servicer_name,loan_term_months
LN000026,2023-08,189350,5.395,700-739,90-95,40-50,MI,Purchase,Primary,Single_Family,ServicerB,360
LN000027,2022-02,252728,5.379,700-739,60-70,40-50,CO,Refinance_NoCashout,Investment,Multi_Family,ServicerA,360
LN000028,2023-02,214546,5.224,700-739,90-95,<20,AL,Refinance_NoCashout,Primary,Single_Family,ServicerD,240
LN000029,2023-04,92324,6.618,620-659,70-80,20-30,TN,Purchase,Primary,Condo,ServicerB,240
LN000030,2023-08,475426,4.632,780+,70-80,20-30,CT,Refinance_Cashout,Second_Home,Single_Family,ServicerD,240
LN000031,2023-04,357047,4.843,740-779,60-70,30-40,WI,Refinance_Cashout,Primary,Multi_Family,ServicerA,180
LN000032,2023-12,119747,4.69,740-779,80-90,40-50,CT,Purchase,Primary,Single_Family,ServicerC,240
LN000033,2023-03,206079,5.391,700-739,80-90,30-40,OK,Refinance_Cashout,Primary,Multi_Family,ServicerD,180
LN000034,2023-07,298606,5.929,620-659,80-90,20-30,NY,Purchase,Investment,Townhouse,ServicerD,360
LN000035,2022-07,117093,6.0,660-699,60-70,<20,SC,Refinance_Cashout,Primary,Multi_Family,ServicerB,360
LN000036,2023-03,262251,5.953,660-699,>95,30-40,MA,Refinance_NoCashout,Primary,Single_Family,ServicerC,360
LN000037,2023-03,89264,6.125,<620,70-80,40-50,MI,Purchase,Investment,Townhouse,ServicerC,180
LN000038,2022-10,213015,4.711,780+,70-80,40-50,UT,Purchase,Investment,Single_Family,ServicerB,180
LN000039,2022-06,174046,5.056,740-779,60-70,>50,CA,Purchase,Primary,Townhouse,ServicerA,240
LN000040,2022-07,342699,6.559,<620,90-95,>50,KY,Refinance_NoCashout,Primary,Single_Family,ServicerA,360
LN000041,2022-03,94819,4.722,740-779,80-90,40-50,TX,Purchase,Primary,Multi_Family,ServicerA,360
LN000042,2023-01,316205,4.751,700-739,<60,40-50,TX,Purchase,Primary,Multi_Family,ServicerC,360
LN000043,2022-12,167477,5.696,700-739,80-90,<20,WA,Refinance_Cashout,Primary,Multi_Family,ServicerC,180
LN000044,2022-12,215366,5.321,700-739,70-80,<20,TN,Purchase,Primary,Condo,ServicerC,360
LN000045,2023-04,158049,4.965,700-739,60-70,30-40,NC,Refinance_Cashout,Primary,Condo,ServicerC,360
LN000046,2023-03,338380,5.198,700-739,80-90,20-30,MN,Purchase,Primary,Single_Family,ServicerE,360
LN000047,2023-01,134626,4.449,780+,>95,30-40,GA,Refinance_NoCashout,Primary,Single_Family,ServicerB,180
LN000048,2023-09,317354,6.407,<620,70-80,20-30,KY,Refinance_Cashout,Primary,Townhouse,ServicerD,360
LN000049,2023-09,151486,5.211,620-659,80-90,<20,FL,Refinance_NoCashout,Primary,Condo,ServicerE,360
LN000050,2023-07,277662,5.403,700-739,<60,20-30,VA,Purchase,Second_Home,Multi_Family,ServicerE,360
LN000051,2023-02,411482,4.367,780+,60-70,20-30,KY,Purchase,Primary,Single_Family,ServicerD,240
LN000052,2022-06,352888,6.338,<620,60-70,20-30,OK,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000053,2023-09,120058,5.361,700-739,80-90,40-50,SC,Purchase,Second_Home,Single_Family,ServicerC,360
LN000054,2023-05,106698,4.99,700-739,>95,30-40,KY,Refinance_Cashout,Primary,Single_Family,ServicerA,360
LN000055,2022-10,183537,5.522,700-739,60-70,20-30,MD,Purchase,Primary,Condo,ServicerE,180
LN000056,2022-10,371006,5.301,740-779,80-90,>50,NC,Refinance_NoCashout,Investment,Condo,ServicerB,360
LN000057,2023-12,130779,4.147,780+,60-70,30-40,CT,Refinance_NoCashout,Investment,Single_Family,ServicerD,360
LN000058,2023-12,153231,5.573,660-699,60-70,<20,SC,Refinance_NoCashout,Primary,Multi_Family,ServicerB,360
LN000059,2022-10,291111,6.262,620-659,80-90,40-50,GA,Purchase,Primary,Single_Family,ServicerA,360
LN000060,2023-07,224318,5.114,740-779,90-95,30-40,MN,Purchase,Primary,Townhouse,ServicerC,360
LN000061,2022-01,392904,4.777,740-779,<60,20-30,GA,Refinance_NoCashout,Primary,Townhouse,ServicerB,240
LN000062,2023-06,265608,5.366,660-699,70-80,40-50,MO,Purchase,Primary,Townhouse,ServicerC,240
LN000063,2023-12,215818,4.781,700-739,60-70,30-40,MA,Refinance_Cashout,Primary,Single_Family,ServicerE,180
LN000064,2022-09,169076,6.864,<620,70-80,30-40,OH,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,360
LN000065,2022-07,55139,5.543,660-699,70-80,>50,OH,Refinance_Cashout,Primary,Single_Family,ServicerC,360
LN000066,2022-05,182870,4.616,780+,70-80,30-40,IL,Purchase,Primary,Multi_Family,ServicerC,360
LN000067,2023-05,420494,4.737,780+,90-95,20-30,WA,Refinance_NoCashout,Primary,Single_Family,ServicerD,180
LN000068,2023-11,125796,5.811,620-659,<60,20-30,CT,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000069,2022-03,177945,6.668,<620,80-90,20-30,OH,Purchase,Primary,Townhouse,ServicerC,180
LN000070,2022-03,119235,5.195,700-739,70-80,20-30,TN,Purchase,Primary,Single_Family,ServicerE,360
LN000071,2022-12,113576,5.358,660-699,70-80,>50,KY,Purchase,Primary,Single_Family,ServicerD,360
LN000072,2022-03,328034,5.426,620-659,<60,<20,CA,Refinance_Cashout,Primary,Townhouse,ServicerC,360
LN000073,2022-01,199930,5.032,700-739,60-70,40-50,GA,Refinance_Cashout,Primary,Multi_Family,ServicerE,360
LN000074,2023-06,273125,6.075,660-699,90-95,30-40,LA,Purchase,Primary,Single_Family,ServicerD,180
LN000075,2022-09,392232,6.619,620-659,80-90,30-40,NY,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000076,2022-02,488346,5.276,700-739,>95,<20,PA,Refinance_Cashout,Primary,Townhouse,ServicerA,360
LN000077,2023-10,256686,4.925,700-739,70-80,<20,NJ,Refinance_NoCashout,Primary,Condo,ServicerD,240
LN000078,2023-09,240299,5.803,660-699,80-90,30-40,OR,Refinance_Cashout,Primary,Townhouse,ServicerD,360
LN000079,2023-12,154511,5.376,700-739,<60,40-50,CT,Refinance_NoCashout,Primary,Condo,ServicerA,180
LN000080,2022-09,111186,6.195,620-659,60-70,40-50,CT,Refinance_Cashout,Primary,Townhouse,ServicerD,360
LN000081,2022-10,113109,5.368,740-779,80-90,40-50,AL,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,240
LN000082,2022-11,189728,7.026,<620,>95,20-30,SC,Purchase,Primary,Condo,ServicerC,360
LN000083,2023-02,201903,5.573,700-739,>95,30-40,NJ,Purchase,Primary,Condo,ServicerB,360
LN000084,2022-01,140539,5.725,660-699,<60,40-50,CT,Purchase,Primary,Single_Family,ServicerA,240
LN000085,2022-12,77190,6.519,<620,70-80,>50,OR,Purchase,Primary,Townhouse,ServicerA,360
LN000086,2023-07,229683,4.172,780+,>95,>50,OK,Purchase,Primary,Single_Family,ServicerE,360
LN000087,2023-09,335933,5.206,700-739,60-70,20-30,VA,Refinance_Cashout,Primary,Single_Family,ServicerC,360
LN000088,2022-03,177599,5.518,740-779,60-70,>50,SC,Purchase,Primary,Townhouse,ServicerD,360
LN000089,2022-05,407644,5.647,700-739,60-70,30-40,IN,Purchase,Primary,Single_Family,ServicerC,360
LN000090,2022-02,244481,4.849,740-779,80-90,30-40,OR,Purchase,Primary,Single_Family,ServicerA,360
LN000091,2023-11,190243,4.155,780+,60-70,30-40,OR,Purchase,Investment,Single_Family,ServicerA,360
LN000092,2022-02,240732,4.421,700-739,80-90,20-30,AZ,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000093,2023-11,198598,7.173,<620,70-80,40-50,WI,Purchase,Investment,Single_Family,ServicerD,360
LN000094,2023-07,202259,4.777,780+,70-80,<20,CA,Purchase,Primary,Single_Family,ServicerA,360
LN000095,2023-11,248179,4.475,740-779,70-80,30-40,MD,Purchase,Primary,Condo,ServicerE,360
LN000096,2023-03,170875,5.481,700-739,90-95,30-40,TX,Refinance_Cashout,Primary,Multi_Family,ServicerD,360
LN000097,2022-09,212220,5.336,700-739,80-90,30-40,MI,Refinance_Cashout,Primary,Single_Family,ServicerC,360
LN000098,2022-07,240246,6.327,620-659,80-90,30-40,NY,Purchase,Primary,Townhouse,ServicerE,240
LN000099,2023-09,270993,4.799,740-779,60-70,20-30,NC,Refinance_NoCashout,Primary,Single_Family,ServicerD,360
LN000100,2023-07,359984,5.614,700-739,70-80,30-40,CT,Purchase,Primary,Single_Family,ServicerC,360
LN000101,2022-10,123328,5.503,700-739,70-80,>50,KY,Refinance_Cashout,Primary,Single_Family,ServicerC,240
LN000102,2022-10,179506,4.127,780+,90-95,>50,OK,Refinance_NoCashout,Primary,Single_Family,ServicerD,360
LN000103,2022-06,411278,5.654,660-699,70-80,30-40,WI,Refinance_NoCashout,Primary,Single_Family,ServicerE,360
LN000104,2022-11,177256,4.566,740-779,60-70,40-50,AL,Refinance_NoCashout,Primary,Single_Family,ServicerA,360
LN000105,2022-11,246791,4.455,780+,>95,<20,GA,Refinance_NoCashout,Primary,Single_Family,ServicerB,360
LN000106,2023-02,217549,5.538,700-739,80-90,30-40,PA,Refinance_NoCashout,Investment,Single_Family,ServicerA,360
LN000107,2022-03,268115,4.684,780+,70-80,30-40,VA,Purchase,Second_Home,Townhouse,ServicerD,360
LN000108,2023-11,176271,5.354,660-699,80-90,40-50,WA,Purchase,Investment,Single_Family,ServicerB,360
LN000109,2022-04,176678,6.275,<620,<60,<20,FL,Refinance_Cashout,Second_Home,Single_Family,ServicerA,180
LN000110,2022-02,183053,5.315,740-779,80-90,40-50,KY,Refinance_Cashout,Primary,Townhouse,ServicerB,360
LN000111,2023-01,200238,5.137,700-739,70-80,20-30,CT,Purchase,Primary,Single_Family,ServicerA,360
LN000112,2022-02,210093,4.709,780+,60-70,30-40,VA,Refinance_NoCashout,Investment,Townhouse,ServicerC,240
LN000113,2022-05,129259,4.604,740-779,70-80,30-40,VA,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000114,2022-09,135810,5.22,660-699,70-80,40-50,MA,Purchase,Primary,Single_Family,ServicerA,360
LN000115,2022-08,169719,4.487,740-779,<60,<20,AL,Purchase,Investment,Single_Family,ServicerD,360
LN000116,2023-09,125083,6.132,<620,60-70,30-40,CT,Purchase,Primary,Single_Family,ServicerA,240
LN000117,2022-11,128058,5.886,620-659,90-95,20-30,TN,Purchase,Primary,Single_Family,ServicerB,360
LN000118,2022-01,109351,5.425,620-659,60-70,<20,OK,Refinance_NoCashout,Second_Home,Townhouse,ServicerD,360
LN000119,2023-01,262963,6.327,<620,70-80,20-30,OK,Purchase,Investment,Single_Family,ServicerE,360
LN000120,2022-07,264413,5.708,660-699,70-80,30-40,UT,Purchase,Primary,Townhouse,ServicerA,360
LN000121,2023-03,80511,5.176,700-739,70-80,30-40,MN,Purchase,Primary,Condo,ServicerB,360
LN000122,2022-07,474408,5.288,700-739,70-80,20-30,WI,Purchase,Primary,Single_Family,ServicerE,360
LN000123,2022-06,275164,5.099,740-779,70-80,40-50,NY,Purchase,Investment,Single_Family,ServicerD,360
LN000124,2023-11,178257,6.609,<620,<60,30-40,MO,Refinance_Cashout,Investment,Single_Family,ServicerB,180
LN000125,2022-12,300168,5.501,740-779,70-80,40-50,TX,Purchase,Second_Home,Single_Family,ServicerB,360
LN000126,2022-06,204176,4.21,780+,90-95,20-30,CT,Purchase,Primary,Townhouse,ServicerC,360
LN000127,2022-12,167081,3.667,780+,80-90,20-30,NY,Refinance_NoCashout,Second_Home,Single_Family,ServicerA,360
LN000128,2023-06,135909,6.857,<620,80-90,30-40,OR,Refinance_Cashout,Primary,Condo,ServicerA,360
LN000129,2022-01,77730,5.523,700-739,60-70,<20,PA,Refinance_NoCashout,Primary,Townhouse,ServicerA,360
LN000130,2022-06,246199,4.661,740-779,90-95,30-40,FL,Purchase,Primary,Multi_Family,ServicerC,180
LN000131,2023-12,263322,4.824,740-779,70-80,>50,SC,Purchase,Primary,Townhouse,ServicerE,240
LN000132,2023-06,314316,4.387,780+,80-90,20-30,IN,Refinance_NoCashout,Primary,Single_Family,ServicerC,360
LN000133,2022-07,300908,5.646,620-659,90-95,30-40,MD,Refinance_NoCashout,Primary,Townhouse,ServicerE,360
LN000134,2022-10,169614,3.64,780+,>95,30-40,IN,Purchase,Primary,Single_Family,ServicerA,180
LN000135,2022-03,151557,5.343,740-779,70-80,>50,MI,Purchase,Investment,Single_Family,ServicerA,360
LN000136,2023-04,155464,4.439,780+,60-70,<20,CT,Purchase,Primary,Multi_Family,ServicerB,360
LN000137,2023-01,373423,5.23,660-699,90-95,30-40,NY,Purchase,Primary,Single_Family,ServicerB,360
LN000138,2023-09,217652,5.32,740-779,80-90,20-30,VA,Refinance_Cashout,Primary,Single_Family,ServicerD,240
LN000139,2023-06,223792,4.009,780+,60-70,<20,CA,Purchase,Investment,Single_Family,ServicerC,360
LN000140,2023-11,229812,6.457,<620,80-90,20-30,WA,Refinance_NoCashout,Primary,Townhouse,ServicerB,180
LN000141,2022-12,187755,5.34,740-779,80-90,40-50,PA,Refinance_Cashout,Primary,Condo,ServicerE,360
LN000142,2023-11,104485,5.712,660-699,70-80,40-50,CT,Refinance_Cashout,Primary,Condo,ServicerB,240
LN000143,2022-04,566934,5.251,700-739,80-90,40-50,FL,Purchase,Primary,Single_Family,ServicerE,360
LN000144,2022-05,100057,5.163,740-779,80-90,20-30,OR,Purchase,Primary,Single_Family,ServicerB,360
LN000145,2022-04,111854,4.997,740-779,<60,30-40,NY,Purchase,Second_Home,Single_Family,ServicerE,360
LN000146,2022-05,539693,5.287,700-739,70-80,20-30,PA,Purchase,Primary,Single_Family,ServicerD,360
LN000147,2022-08,169806,6.094,660-699,90-95,>50,CA,Refinance_NoCashout,Primary,Townhouse,ServicerE,360
LN000148,2023-01,270665,4.66,700-739,<60,<20,AL,Purchase,Primary,Condo,ServicerD,180
LN000149,2023-09,424295,5.421,660-699,90-95,40-50,NY,Purchase,Primary,Single_Family,ServicerE,360
LN000150,2023-04,90805,5.819,660-699,80-90,20-30,CT,Purchase,Investment,Single_Family,ServicerA,360
LN000151,2023-09,163403,6.056,620-659,60-70,40-50,AL,Refinance_Cashout,Second_Home,Single_Family,ServicerA,240
LN000152,2022-09,178087,5.708,660-699,70-80,20-30,CT,Refinance_NoCashout,Primary,Townhouse,ServicerE,180
LN000153,2022-06,184146,5.657,700-739,>95,<20,MN,Purchase,Primary,Condo,ServicerE,360
LN000154,2022-06,182240,5.677,620-659,70-80,30-40,PA,Refinance_Cashout,Investment,Single_Family,ServicerD,360
LN000155,2022-10,374096,6.04,660-699,80-90,40-50,NY,Purchase,Primary,Single_Family,ServicerB,360
LN000156,2022-06,206756,4.887,740-779,70-80,20-30,OK,Refinance_NoCashout,Primary,Single_Family,ServicerC,360
LN000157,2023-09,357808,6.729,<620,60-70,30-40,VA,Refinance_NoCashout,Second_Home,Single_Family,ServicerE,180
LN000158,2023-09,229013,5.695,660-699,80-90,40-50,OR,Refinance_NoCashout,Primary,Single_Family,ServicerA,360
LN000159,2023-10,274909,4.762,740-779,90-95,30-40,UT,Refinance_Cashout,Primary,Condo,ServicerB,360
LN000160,2023-08,176623,4.384,780+,60-70,30-40,AL,Purchase,Second_Home,Multi_Family,ServicerA,360
LN000161,2023-06,360661,5.039,780+,70-80,30-40,OH,Purchase,Investment,Single_Family,ServicerA,360
LN000162,2023-03,88652,4.432,780+,90-95,20-30,VA,Refinance_Cashout,Primary,Townhouse,ServicerE,240
LN000163,2022-01,273787,4.708,740-779,80-90,30-40,LA,Purchase,Primary,Multi_Family,ServicerE,180
LN000164,2022-09,106454,5.754,660-699,90-95,30-40,SC,Refinance_Cashout,Second_Home,Single_Family,ServicerD,180
LN000165,2022-06,223778,3.802,780+,80-90,30-40,NY,Purchase,Primary,Single_Family,ServicerC,360
LN000166,2023-09,211778,5.396,660-699,80-90,<20,LA,Refinance_NoCashout,Primary,Single_Family,ServicerB,180
LN000167,2022-06,208731,6.438,620-659,<60,>50,TN,Refinance_Cashout,Second_Home,Condo,ServicerE,360
LN000168,2022-08,100291,5.574,700-739,80-90,20-30,WI,Purchase,Second_Home,Single_Family,ServicerC,240
LN000169,2022-04,148970,4.668,740-779,70-80,30-40,OR,Purchase,Primary,Condo,ServicerD,360
LN000170,2022-03,617739,5.813,700-739,70-80,30-40,NC,Refinance_Cashout,Primary,Condo,ServicerD,360
LN000171,2023-05,302871,6.135,<620,70-80,20-30,MI,Refinance_Cashout,Primary,Townhouse,ServicerC,360
LN000172,2022-01,101376,5.389,700-739,70-80,30-40,SC,Refinance_Cashout,Primary,Condo,ServicerA,360
LN000173,2022-02,346135,5.664,700-739,>95,30-40,TN,Purchase,Primary,Single_Family,ServicerC,180
LN000174,2023-04,184603,4.802,740-779,80-90,<20,WA,Refinance_NoCashout,Primary,Condo,ServicerA,360
LN000175,2022-08,198733,5.443,700-739,90-95,20-30,IL,Refinance_NoCashout,Investment,Single_Family,ServicerD,240
LN000176,2022-09,253214,5.98,660-699,80-90,>50,GA,Refinance_Cashout,Investment,Multi_Family,ServicerB,360
LN000177,2022-05,128276,5.368,740-779,70-80,20-30,OK,Refinance_NoCashout,Primary,Single_Family,ServicerE,360
LN000178,2022-02,126709,5.743,700-739,80-90,20-30,IN,Purchase,Primary,Single_Family,ServicerC,360
LN000179,2023-09,276699,5.585,660-699,90-95,30-40,NY,Refinance_Cashout,Primary,Single_Family,ServicerA,180
LN000180,2023-11,275904,6.081,<620,90-95,20-30,MO,Purchase,Primary,Townhouse,ServicerD,180
LN000181,2023-10,307419,6.171,620-659,>95,30-40,LA,Refinance_Cashout,Primary,Multi_Family,ServicerD,360
LN000182,2023-02,404761,5.517,700-739,70-80,20-30,MI,Refinance_Cashout,Primary,Single_Family,ServicerC,360
LN000183,2023-04,134377,5.207,740-779,90-95,30-40,MD,Purchase,Primary,Single_Family,ServicerD,360
LN000184,2022-04,268731,6.421,620-659,90-95,>50,WA,Purchase,Investment,Multi_Family,ServicerC,360
LN000185,2022-01,261955,4.653,780+,>95,>50,FL,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000186,2023-01,349582,4.324,740-779,<60,30-40,IL,Refinance_Cashout,Primary,Multi_Family,ServicerA,360
LN000187,2023-06,379555,5.841,620-659,60-70,30-40,FL,Refinance_NoCashout,Primary,Townhouse,ServicerB,240
LN000188,2023-03,164417,3.846,780+,70-80,30-40,MD,Purchase,Primary,Single_Family,ServicerB,360
LN000189,2022-02,221383,4.704,740-779,70-80,20-30,MI,Purchase,Investment,Condo,ServicerE,180
LN000190,2022-09,253354,5.08,700-739,60-70,20-30,OR,Purchase,Primary,Single_Family,ServicerD,360
LN000191,2022-10,292122,5.298,660-699,<60,30-40,SC,Purchase,Primary,Single_Family,ServicerA,360
LN000192,2023-07,219518,5.613,660-699,80-90,30-40,LA,Purchase,Primary,Single_Family,ServicerA,360
LN000193,2023-07,231403,6.618,<620,80-90,40-50,TN,Refinance_NoCashout,Investment,Single_Family,ServicerD,360
LN000194,2023-12,114066,6.072,620-659,70-80,>50,IN,Refinance_NoCashout,Primary,Single_Family,ServicerA,360
LN000195,2023-12,196017,6.148,620-659,<60,>50,TX,Purchase,Investment,Single_Family,ServicerA,360
LN000196,2023-12,54125,5.47,700-739,90-95,20-30,GA,Purchase,Primary,Multi_Family,ServicerB,360
LN000197,2022-05,327183,6.361,<620,70-80,20-30,TN,Purchase,Primary,Single_Family,ServicerD,360
LN000198,2022-12,209217,5.849,660-699,90-95,30-40,AZ,Purchase,Primary,Single_Family,ServicerC,240
LN000199,2022-03,80409,4.752,740-779,60-70,40-50,IL,Refinance_Cashout,Investment,Single_Family,ServicerD,240
LN000200,2022-03,259197,5.29,700-739,60-70,30-40,TN,Purchase,Primary,Single_Family,ServicerD,240
LN000201,2022-06,204204,6.49,<620,70-80,20-30,UT,Purchase,Primary,Single_Family,ServicerB,240
LN000202,2022-07,145121,4.36,780+,>95,30-40,SC,Refinance_NoCashout,Second_Home,Townhouse,ServicerC,360
LN000203,2023-10,80493,4.659,740-779,90-95,20-30,OK,Refinance_NoCashout,Primary,Condo,ServicerE,180
LN000204,2023-05,220950,4.661,740-779,80-90,40-50,AL,Purchase,Primary,Single_Family,ServicerC,360
LN000205,2022-07,292514,5.365,700-739,90-95,20-30,SC,Refinance_Cashout,Primary,Single_Family,ServicerB,360
LN000206,2022-02,208772,6.021,660-699,80-90,20-30,IL,Refinance_NoCashout,Second_Home,Multi_Family,ServicerC,180
LN000207,2023-09,189570,5.678,700-739,60-70,40-50,IL,Purchase,Primary,Condo,ServicerE,180
LN000208,2022-09,286572,4.881,740-779,<60,30-40,MO,Purchase,Investment,Townhouse,ServicerB,360
LN000209,2022-05,123998,5.144,700-739,80-90,20-30,MN,Refinance_Cashout,Investment,Single_Family,ServicerE,360
LN000210,2023-11,129909,5.915,620-659,>95,>50,FL,Refinance_Cashout,Primary,Single_Family,ServicerC,240
LN000211,2023-10,574107,4.788,740-779,<60,<20,MO,Purchase,Investment,Condo,ServicerD,360
LN000212,2022-12,124799,5.918,660-699,70-80,30-40,IL,Purchase,Primary,Single_Family,ServicerA,240
LN000213,2022-05,181965,5.138,700-739,70-80,20-30,CA,Refinance_Cashout,Investment,Single_Family,ServicerB,360
LN000214,2023-10,379209,6.794,<620,70-80,30-40,AL,Purchase,Primary,Single_Family,ServicerD,360
LN000215,2023-07,207522,4.669,740-779,90-95,30-40,MO,Refinance_NoCashout,Primary,Condo,ServicerE,240
LN000216,2022-04,438631,4.914,700-739,70-80,20-30,KY,Purchase,Primary,Townhouse,ServicerD,240
LN000217,2023-07,318474,5.282,660-699,>95,30-40,MD,Purchase,Primary,Single_Family,ServicerB,180
LN000218,2023-11,333331,3.786,780+,90-95,30-40,MN,Purchase,Primary,Single_Family,ServicerB,360
LN000219,2023-03,252408,4.442,780+,<60,20-30,IL,Purchase,Second_Home,Single_Family,ServicerB,360
LN000220,2023-09,50000,6.538,<620,70-80,<20,CA,Purchase,Primary,Condo,ServicerC,360
LN000221,2022-12,238352,5.838,660-699,90-95,<20,OH,Purchase,Primary,Single_Family,ServicerE,240
LN000222,2023-05,719461,5.178,740-779,70-80,30-40,FL,Refinance_NoCashout,Primary,Single_Family,ServicerE,360
LN000223,2022-02,523185,5.552,660-699,80-90,20-30,CA,Refinance_NoCashout,Primary,Townhouse,ServicerC,180
LN000224,2022-07,243407,4.414,780+,80-90,30-40,MA,Purchase,Primary,Single_Family,ServicerC,360
LN000225,2022-08,414558,5.034,660-699,70-80,<20,MO,Refinance_Cashout,Second_Home,Single_Family,ServicerA,240
LN000226,2023-02,335960,6.75,<620,90-95,>50,CA,Purchase,Primary,Townhouse,ServicerE,180
LN000227,2022-09,421263,5.092,700-739,>95,20-30,VA,Refinance_Cashout,Second_Home,Townhouse,ServicerC,360
LN000228,2022-10,436117,6.063,660-699,80-90,20-30,LA,Refinance_Cashout,Investment,Single_Family,ServicerA,360
LN000229,2023-01,294918,5.835,620-659,60-70,30-40,SC,Purchase,Second_Home,Single_Family,ServicerA,360
LN000230,2023-11,173363,6.474,<620,80-90,30-40,MN,Refinance_Cashout,Primary,Single_Family,ServicerE,360
LN000231,2023-05,74576,5.287,700-739,80-90,20-30,MA,Purchase,Primary,Single_Family,ServicerA,360
LN000232,2022-02,324517,5.166,700-739,80-90,30-40,TX,Refinance_Cashout,Second_Home,Condo,ServicerE,360
LN000233,2023-01,152077,5.388,620-659,70-80,30-40,MI,Refinance_Cashout,Primary,Condo,ServicerA,360
LN000234,2022-10,78386,4.602,700-739,70-80,20-30,MO,Refinance_Cashout,Primary,Single_Family,ServicerD,240
LN000235,2022-04,92864,6.247,660-699,>95,30-40,OH,Refinance_NoCashout,Primary,Townhouse,ServicerB,360
LN000236,2023-02,186303,5.599,700-739,>95,20-30,NY,Refinance_NoCashout,Primary,Condo,ServicerD,360
LN000237,2022-06,299404,5.531,700-739,<60,30-40,MN,Purchase,Investment,Multi_Family,ServicerB,360
LN000238,2023-07,105904,4.725,700-739,70-80,<20,WI,Refinance_NoCashout,Primary,Single_Family,ServicerE,240
LN000239,2023-02,157863,6.105,620-659,80-90,20-30,AZ,Refinance_NoCashout,Investment,Townhouse,ServicerA,360
LN000240,2023-01,127948,5.845,700-739,80-90,<20,MD,Refinance_NoCashout,Primary,Single_Family,ServicerE,360
LN000241,2023-01,198565,5.369,700-739,70-80,20-30,TX,Purchase,Primary,Single_Family,ServicerE,360
